년월,시도,시군구,충전요금,고객호수,판매량,판매수입
2025-04,경상남도,김해시,사업자용,1411,2479268,363834284
2025-04,경상남도,남해군,자가용,223,110804,17033468
2025-04,경상남도,남해군,사업자용,133,93172,24187746
2025-04,경상남도,밀양시,자가용,470,336785,47800621
2025-04,경상남도,밀양시,사업자용,233,258688,54983030
2025-04,경상남도,사천시,자가용,194,189144,26109638
2025-04,경상남도,사천시,사업자용,246,408289,80965784
2025-04,경상남도,산청군,자가용,233,93760,14238421
2025-04,경상남도,산청군,사업자용,220,172181,50218914
2025-04,경상남도,양산시,자가용,357,420186,60525115
2025-04,경상남도,양산시,사업자용,905,2051792,289073923
2025-04,경상남도,의령군,자가용,77,33178,5329286
2025-04,경상남도,의령군,사업자용,85,55976,19206973
2025-04,경상남도,진주시,자가용,875,1403595,176562390
2025-04,경상남도,진주시,사업자용,821,1456273,244707977
2025-04,경상남도,창녕군,자가용,205,98169,13942772
2025-04,경상남도,창녕군,사업자용,155,233637,48374127
2025-04,경상남도,통영시,자가용,160,176548,26411160
2025-04,경상남도,통영시,사업자용,274,400022,73396654
2025-04,경상남도,하동군,자가용,179,118314,18293036
2025-04,경상남도,하동군,사업자용,181,110035,30656970
2025-04,경상남도,함안군,자가용,182,109955,16088691
2025-04,경상남도,함안군,사업자용,147,288242,56422765
2025-04,경상남도,함양군,자가용,136,82288,11985265
2025-04,경상남도,함양군,사업자용,95,147541,32382516
2025-04,경상남도,합천군,자가용,229,148555,20835217
2025-04,경상남도,합천군,사업자용,114,107163,33167534
2025-04,경상남도,창원시 성산구,자가용,250,407993,52970639
2025-04,경상남도,창원시 성산구,사업자용,633,1548081,231054587
2025-04,경상남도,창원시 의창구,자가용,436,209968,31065956
2025-04,경상남도,창원시 의창구,사업자용,511,635733,100274607
2025-04,경상남도,창원시 진해구,자가용,130,188978,25909976
2025-04,경상남도,창원시 진해구,사업자용,457,545988,87629611
2025-04,경상남도,창원시 마산합포구,자가용,211,707399,90668089
2025-04,경상남도,창원시 마산합포구,사업자용,414,1581602,209737150
2025-04,경상남도,창원시 마산회원구,자가용,174,105487,16651412
2025-04,경상남도,창원시 마산회원구,사업자용,344,451214,76251060
2025-04,경상북도,경산시,자가용,435,294976,42429816
2025-04,경상북도,경산시,사업자용,749,1231707,201982940
2025-04,경상북도,경주시,자가용,877,434040,62536508
2025-04,경상북도,경주시,사업자용,582,1275567,208206232
2025-04,경상북도,고령군,자가용,153,66199,10409771
2025-04,경상북도,고령군,사업자용,80,75582,23847368
2025-04,경상북도,구미시,자가용,486,280017,46241675
2025-04,경상북도,구미시,사업자용,998,1523014,259283205
2025-04,경상북도,김천시,자가용,358,166505,25405692
2025-04,경상북도,김천시,사업자용,390,631012,118625334
2025-04,경상북도,문경시,자가용,194,122729,20359562
2025-04,경상북도,문경시,사업자용,115,348556,56734138
2025-04,경상북도,봉화군,자가용,83,39657,6883916
