충전소ID,충전소명,충전기ID,충전기명,충전기용량(kw)
10,강북성북지사(공용),10263,급속04,50
10,강북성북지사(공용),11315,급속05,100
10,강북성북지사(공용),11316,급속06,100
10,강북성북지사(공용),1385,급속02,50
10,강북성북지사(공용),1386,급속03,50
10,강북성북지사(공용),317,완속06,7
10,강북성북지사(공용),318,완속07,7
10,강북성북지사(공용),40,급속01,50
100,순천지사,274,급속01,50
100,순천지사,275,완속05,7
100,순천지사,276,완속04,7
100,순천지사,985,완속03,7
100,순천지사,986,완속02,7
100,순천지사,987,완속01,7
1000,학여울청구 아파트,3068,급속01,50
1000,학여울청구 아파트,3069,완속01,7
1000,학여울청구 아파트,3070,완속02,7
1000,학여울청구 아파트,3071,완속03,7
1000,학여울청구 아파트,3072,완속04,7
1002,돈의문센트레빌 아파트,3075,급속01,50
1002,돈의문센트레빌 아파트,3076,완속01,7
1003,e편한세상마포리버파크,3077,급속01,50
1003,e편한세상마포리버파크,3078,완속01,7
1003,e편한세상마포리버파크,3079,완속02,7
1003,e편한세상마포리버파크,3080,완속03,7
1004,쌍용황금,3081,급속01,50
1006,한남동현대하이페리온,3084,완속01,7
1006,한남동현대하이페리온,3085,완속02,7
1007,광화문스페이스본 아파트,3086,급속01,50
1007,광화문스페이스본 아파트,3087,완속01,7
1007,광화문스페이스본 아파트,3088,완속02,7
1007,광화문스페이스본 아파트,3089,완속03,7
1008,남산센트럴자이,3090,완속01,7
1008,남산센트럴자이,3091,완속02,7
1009,덕수궁 롯데캐슬,3092,완속01,7
1009,덕수궁 롯데캐슬,3093,완속02,7
1011,인왕산2차아이파크,3096,완속01,7
1011,인왕산2차아이파크,3097,완속02,7
1012,창신두산 아파트,3098,급속01,50
1012,창신두산 아파트,3099,완속01,7
1012,창신두산 아파트,3100,완속02,7
1013,창신쌍용2단지 아파트,3101,급속01,50
1013,창신쌍용2단지 아파트,3102,완속01,7
1015,효성주얼리시티,3105,완속01,7
1015,효성주얼리시티,3106,완속02,7
1016,래미안미아1차 아파트,3107,급속01,50
1016,래미안미아1차 아파트,3108,완속01,7
1017,보문하우스토리,3109,완속01,7
1018,석관두산 아파트,3110,급속01,50
1018,석관두산 아파트,3111,급속02,50
1019,정릉e편한세상 아파트,3114,급속01,50
1019,정릉e편한세상 아파트,3115,완속01,7
1019,정릉e편한세상 아파트,3116,완속02,7
102,서초지사,106,완속05,7
102,서초지사,107,완속02,7
102,서초지사,10856,완속01,7
102,서초지사,10865,완속04,7
102,서초지사,109,완속06,7
102,서초지사,12053,급속05,50
102,서초지사,12054,급속06,50
102,서초지사,12055,급속07,50
102,서초지사,12056,급속08,50
102,서초지사,311,완속07,7
102,서초지사,312,완속03,7
102,서초지사,345,급속02,50
102,서초지사,538,급속01,50
1020,부평금호어울림,3117,완속01,7
1020,부평금호어울림,3118,완속02,7
1021,산곡우성1.2.3차 아파트,3119,급속01,50
1021,산곡우성1.2.3차 아파트,3120,급속02,50
1021,산곡우성1.2.3차 아파트,3121,완속01,7
1021,산곡우성1.2.3차 아파트,3122,완속02,7
1022,삼산서해그랑블 아파트,3123,급속01,50
1022,삼산서해그랑블 아파트,3124,완속01,7
1023,송도글로벌캠퍼스푸르지오 아파트,3125,급속01,50
1023,송도글로벌캠퍼스푸르지오 아파트,3127,완속01,7
1023,송도글로벌캠퍼스푸르지오 아파트,3128,완속02,7
1023,송도글로벌캠퍼스푸르지오 아파트,3129,완속03,7
1023,송도글로벌캠퍼스푸르지오 아파트,3130,완속04,7
1024,송도더샵그린워크1차,3131,급속01,50
1024,송도더샵그린워크1차,3132,완속01,7
1024,송도더샵그린워크1차,3133,완속02,7
1025,송도롯데캐슬 아파트,3134,급속01,50
1025,송도롯데캐슬 아파트,3135,완속01,7
1025,송도롯데캐슬 아파트,3136,완속02,7
1025,송도롯데캐슬 아파트,3137,완속03,7
1026,에코메트로10단지,3138,급속01,50
1026,에코메트로10단지,3139,완속01,7
1027,LH퍼스트리움 아파트,3140,급속01,50
1027,LH퍼스트리움 아파트,3141,완속01,7
1027,LH퍼스트리움 아파트,3142,완속02,7
1027,LH퍼스트리움 아파트,3143,완속03,7
1029,자연앤,3146,완속01,7
1029,자연앤,3147,완속02,7
1030,양촌읍 학운리 자연앤데시앙,3148,급속01,50
1030,양촌읍 학운리 자연앤데시앙,3149,완속01,7
1030,양촌읍 학운리 자연앤데시앙,3150,완속02,7
1032,운양동 반도유보라2차 아파트,3154,급속01,50
1032,운양동 반도유보라2차 아파트,3155,완속01,7
1032,운양동 반도유보라2차 아파트,3156,완속02,7
1033,감정동 푸른마을신안실크밸리1차,3157,급속01,50
1033,감정동 푸른마을신안실크밸리1차,3158,급속02,50
1033,감정동 푸른마을신안실크밸리1차,3159,완속01,7
1033,감정동 푸른마을신안실크밸리1차,3160,완속02,7
1033,감정동 푸른마을신안실크밸리1차,3161,완속03,7
1033,감정동 푸른마을신안실크밸리1차,3162,완속04,7
1033,감정동 푸른마을신안실크밸리1차,3163,완속05,7
1034,그린타운삼성우성 아파트,3164,급속01,50
1035,역곡한국 아파트,3165,완속01,7
1035,역곡한국 아파트,3166,완속02,7
1037,인천 학익풍림아이원 아파트,3171,급속01,50
1037,인천 학익풍림아이원 아파트,3172,완속01,7
1037,인천 학익풍림아이원 아파트,3173,완속02,7
1037,인천 학익풍림아이원 아파트,3174,완속03,7
1038,청라푸르지오 아파트,3175,급속01,50
1038,청라푸르지오 아파트,3176,완속01,7
1038,청라푸르지오 아파트,3177,완속02,7
1038,청라푸르지오 아파트,3178,완속03,7
1039,영종자이 아파트,3179,급속01,50
1039,영종자이 아파트,3180,완속01,7
1039,영종자이 아파트,3181,완속02,7
1039,영종자이 아파트,3182,완속03,7
104,노원도봉지사,11140,급속02,100
104,노원도봉지사,1383,완속04,7
104,노원도봉지사,1384,완속06,7
104,노원도봉지사,322,완속03,7
104,노원도봉지사,323,완속05,7
1040,영종하늘도시우미린1단지,3183,급속01,50
1040,영종하늘도시우미린1단지,3184,완속01,7
1041,영종하늘도시한라비발디 아파트,3185,급속01,50
1041,영종하늘도시한라비발디 아파트,3186,완속01,7
1041,영종하늘도시한라비발디 아파트,3187,완속02,7
1041,영종하늘도시한라비발디 아파트,3188,완속03,7
1041,영종하늘도시한라비발디 아파트,3189,완속04,7
1042,휴먼시아남춘천1단지,3190,급속01,50
1042,휴먼시아남춘천1단지,3191,완속01,7
1042,휴먼시아남춘천1단지,3192,완속02,7
1043,개운휴먼시아1단지 아파트,3193,급속01,50
1043,개운휴먼시아1단지 아파트,3194,완속01,7
1043,개운휴먼시아1단지 아파트,3195,완속02,7
1045,구곡두산 아파트,3200,완속01,7
1045,구곡두산 아파트,3201,완속02,7
1046,대흥2차 아파트,3202,급속01,50
1047,매지청솔 아파트,3203,급속01,50
1047,매지청솔 아파트,3204,완속01,7
1047,매지청솔 아파트,3205,완속02,7
1047,매지청솔 아파트,3206,완속03,7
1049,원흥2차 아파트,3211,완속01,7
1050,교동e-편한세상 아파트,3212,급속01,50
1050,교동e-편한세상 아파트,3213,완속01,7
1050,교동e-편한세상 아파트,3214,완속02,7
1051,동해금호어울림 아파트,3215,완속01,7
1051,동해금호어울림 아파트,3216,완속02,7
1052,동해코아루디오션,3217,급속01,50
1052,동해코아루디오션,3218,완속01,7
1053,개신두진백로1차 아파트,3219,완속01,7
1053,개신두진백로1차 아파트,3220,완속02,7
1054,금호어울림 아파트,3221,급속01,50
1054,금호어울림 아파트,3222,완속01,7
1055,금호어울림2단지,3223,급속01,50
1055,금호어울림2단지,3224,완속01,7
1056,두산위브지웰시티,3225,급속01,50
1056,두산위브지웰시티,3226,급속02,50
1056,두산위브지웰시티,3227,완속01,7
1056,두산위브지웰시티,3228,완속02,7
1056,두산위브지웰시티,3229,완속03,7
1056,두산위브지웰시티,3230,완속04,7
1056,두산위브지웰시티,3231,완속05,7
1057,삼호 아파트,3232,완속01,7
1057,삼호 아파트,3233,완속02,7
1058,남광하우스토리A단지,3234,급속01,50
1058,남광하우스토리A단지,3235,완속01,7
1058,남광하우스토리A단지,3236,완속02,7
1059,남광하우스토리B단지,3237,급속01,50
1059,남광하우스토리B단지,3238,완속01,7
1059,남광하우스토리B단지,3239,완속02,7
106,한국건설기술연구원,119,급속01,50
106,한국건설기술연구원,120,완속01,7
106,한국건설기술연구원,121,완속02,7
106,한국건설기술연구원,133,완속03,7
1060,용암덕일마이빌 아파트,3240,급속01,50
1060,용암덕일마이빌 아파트,3241,완속01,7
1060,용암덕일마이빌 아파트,3242,완속02,7
1060,용암덕일마이빌 아파트,3243,완속03,7
1061,율량대원칸타빌3차,3244,급속01,50
1061,율량대원칸타빌3차,3245,완속01,7
1061,율량대원칸타빌3차,3246,완속02,7
1061,율량대원칸타빌3차,3247,완속03,7
1062,율량선광로즈웰2차 아파트,3248,급속01,50
1062,율량선광로즈웰2차 아파트,3249,완속01,7
1062,율량선광로즈웰2차 아파트,3250,완속02,7
1063,유수장미 아파트,3251,급속01,50
1063,유수장미 아파트,3252,완속01,7
1064,극동 아파트,3253,급속01,50
1064,극동 아파트,3254,완속01,7
1064,극동 아파트,3255,완속02,7
1065,올리브힐,3256,급속01,50
1065,올리브힐,3257,완속01,7
1065,올리브힐,3258,완속02,7
1065,올리브힐,3259,완속03,7
1066,내포롯데캐슬,3260,급속01,50
1066,내포롯데캐슬,3261,완속01,7
1066,내포롯데캐슬,3262,완속02,7
1066,내포롯데캐슬,3263,완속03,7
1067,천안 대주피오레 아파트,3264,완속01,7
1068,두정1차대림e편한세상,3265,급속01,50
1068,두정1차대림e편한세상,3266,완속01,7
1068,두정1차대림e편한세상,3267,완속02,7
1069,불당마을동일하이빌 아파트,3268,급속01,50
1069,불당마을동일하이빌 아파트,3269,완속01,7
1070,해피드림3차,3270,완속01,7
1071,와이시티 아파트,3271,급속01,50
1071,와이시티 아파트,3272,완속01,7
1071,와이시티 아파트,3273,완속02,7
1071,와이시티 아파트,3274,완속03,7
1071,와이시티 아파트,3275,완속04,7
1072,용연마을휴먼시아2단지 아파트,3276,급속01,50
1072,용연마을휴먼시아2단지 아파트,3277,완속01,7
1072,용연마을휴먼시아2단지 아파트,3278,완속02,7
1074,가재마을9단지,3281,급속01,50
1074,가재마을9단지,3282,완속01,7
1074,가재마을9단지,3283,완속02,7
1074,가재마을9단지,3284,완속03,7
1075,범지기마을 9단지,3285,급속01,50
1075,범지기마을 9단지,3286,완속01,7
1075,범지기마을 9단지,3287,완속02,7
1075,범지기마을 9단지,3288,완속03,7
1076,조치원자이 아파트,3289,급속01,50
1076,조치원자이 아파트,3290,완속01,7
1076,조치원자이 아파트,3291,완속02,7
1076,조치원자이 아파트,3292,완속03,7
1076,조치원자이 아파트,3293,완속04,7
1077,SK허브,3294,완속01,7
1077,SK허브,3295,완속02,7
1078,가나파로스빌1차 아파트,3296,완속01,7
1078,가나파로스빌1차 아파트,3297,완속02,7
1079,대덕테크노밸리3단지 아파트,3298,급속01,50
1079,대덕테크노밸리3단지 아파트,3299,완속01,7
1079,대덕테크노밸리3단지 아파트,3300,완속02,7
108,송파구청,125,급속01,50
1081,드리움2단지 아파트,3305,급속01,50
1081,드리움2단지 아파트,3306,완속01,7
1081,드리움2단지 아파트,3307,완속02,7
1081,드리움2단지 아파트,3308,완속03,7
1082,산호한양 아파트,3309,급속01,50
1082,산호한양 아파트,3310,완속01,7
1082,산호한양 아파트,3311,완속02,7
1082,산호한양 아파트,3312,완속03,7
1084,한빛 아파트,3316,급속01,50
1084,한빛 아파트,3317,급속02,50
1085,하가제일오투그란데 아파트,3318,급속01,50
1085,하가제일오투그란데 아파트,3319,완속01,7
1086,호성유원파크맨션 아파트,3320,완속01,7
1086,호성유원파크맨션 아파트,3321,완속02,7
1089,우남그랜드타운,3326,급속01,50
1089,우남그랜드타운,3327,완속01,7
1089,우남그랜드타운,3328,완속02,7
1089,우남그랜드타운,3329,완속03,7
1089,우남그랜드타운,3330,완속04,7
1090,익산e편한세상,3331,급속01,50
1090,익산e편한세상,3332,급속02,50
1090,익산e편한세상,3333,완속01,7
1090,익산e편한세상,3334,완속02,7
1090,익산e편한세상,3335,완속03,7
1092,하남우미 아파트,3340,급속01,50
1092,하남우미 아파트,3341,완속01,7
1093,코아루천년가 아파트,3342,급속01,50
1093,코아루천년가 아파트,3343,완속01,7
1093,코아루천년가 아파트,3344,완속02,7
1094,송보파인빌,3345,급속01,50
1094,송보파인빌,3346,완속01,7
1094,송보파인빌,3347,완속02,7
1094,송보파인빌,3348,완속03,7
1095,빛가람 중흥S클래스 센트럴2차,3349,급속01,50
1095,빛가람 중흥S클래스 센트럴2차,3350,완속01,7
1095,빛가람 중흥S클래스 센트럴2차,3351,완속02,7
1095,빛가람 중흥S클래스 센트럴2차,3352,완속03,7
1096,웅천지웰1-1차아파트,3353,급속01,50
1096,웅천지웰1-1차아파트,3354,완속01,7
1097,웅천지웰2차아파트,7938,급속01,50
1097,웅천지웰2차아파트,7939,완속01,7
1098,완도진아리채 아파트,3357,완속01,7
1099,광양송보파인빌7차 아파트,3358,급속01,50
1099,광양송보파인빌7차 아파트,3359,완속01,7
1099,광양송보파인빌7차 아파트,3360,완속02,7
11,서울전력관리처,47,급속01,50
11,서울전력관리처,48,완속01,7
11,서울전력관리처,49,완속02,7
1100,브라운스톤태화1단지 아파트,3361,완속01,7
1100,브라운스톤태화1단지 아파트,3362,완속02,7
1101,대구효성해링턴플레이스,3363,완속01,7
1101,대구효성해링턴플레이스,3364,완속02,7
1102,용산롯데캐슬그랜드,3365,급속01,50
1102,용산롯데캐슬그랜드,3366,급속02,50
1103,김천한신휴플러스,3367,급속01,50
1104,영무예다음2차 아파트,3368,완속01,7
1104,영무예다음2차 아파트,3369,완속02,7
1105,칠곡 효성해링턴 플레이스1단지,3370,급속01,50
1105,칠곡 효성해링턴 플레이스1단지,4831,완속01,7
1105,칠곡 효성해링턴 플레이스1단지,4832,완속02,7
1105,칠곡 효성해링턴 플레이스1단지,4833,완속03,7
1107,나래마을,3372,급속01,50
1107,나래마을,3373,완속01,7
1107,나래마을,3374,완속02,7
1108,대곡역 화성파크드림,3375,급속01,50
1108,대곡역 화성파크드림,3376,완속01,7
1108,대곡역 화성파크드림,3377,완속02,7
1108,대곡역 화성파크드림,3378,완속03,7
1109,유천포스코더샵 아파트,3379,급속01,50
1109,유천포스코더샵 아파트,3380,완속01,7
1109,유천포스코더샵 아파트,3381,완속02,7
1109,유천포스코더샵 아파트,3382,완속03,7
1110,브리티시골드,3383,완속01,7
1110,브리티시골드,3384,완속02,7
1111,e편한세상 세계육상선수촌2단지,3385,급속01,50
1111,e편한세상 세계육상선수촌2단지,3386,완속01,7
1111,e편한세상 세계육상선수촌2단지,3387,완속02,7
1111,e편한세상 세계육상선수촌2단지,3388,완속03,7
1114,율하우방아이유쉘,3395,급속01,50
1114,율하우방아이유쉘,3396,완속01,7
1114,율하우방아이유쉘,3397,완속02,7
1114,율하우방아이유쉘,3398,완속03,7
1115,혁신서한이다음3차,3399,급속01,50
1115,혁신서한이다음3차,3400,완속01,7
1115,혁신서한이다음3차,3401,완속02,7
1116,무거위브자이 아파트,3402,급속01,50
1116,무거위브자이 아파트,3403,완속01,7
1116,무거위브자이 아파트,3404,완속02,7
1116,무거위브자이 아파트,3405,완속03,7
1117,문수데시앙1단지 아파트,3406,급속01,50
1117,문수데시앙1단지 아파트,3407,완속01,7
1118,문수마을동문굿모닝힐 아파트,3408,급속01,50
1118,문수마을동문굿모닝힐 아파트,3409,완속01,7
1118,문수마을동문굿모닝힐 아파트,3410,완속02,7
1119,협성현대 아파트,3411,완속01,7
1120,대방노블랜드 연리지2차,3412,급속01,50
1120,대방노블랜드 연리지2차,3414,완속01,7
1120,대방노블랜드 연리지2차,3415,완속02,7
1120,대방노블랜드 연리지2차,3416,완속03,7
1121,범어현대 아파트,3420,급속01,50
1121,범어현대 아파트,3421,완속01,7
1122,양산신도시 아파트 청어람,3422,급속01,50
1122,양산신도시 아파트 청어람,3423,급속02,50
1122,양산신도시 아파트 청어람,3424,완속01,7
1122,양산신도시 아파트 청어람,3425,완속02,7
1122,양산신도시 아파트 청어람,3426,완속03,7
1122,양산신도시 아파트 청어람,3427,완속04,7
1123,양산신도시쌍용 아파트,3428,완속01,7
1123,양산신도시쌍용 아파트,3429,완속02,7
1124,진일1차 아파트,3430,급속01,50
1124,진일1차 아파트,3431,완속01,7
1126,김해구산주공5단지,3436,급속01,50
1126,김해구산주공5단지,3437,완속01,7
1127,삼계아이파크,3438,급속01,50
1127,삼계아이파크,3439,완속01,7
1128,안동한일 아파트,3440,급속01,50
1128,안동한일 아파트,3441,완속01,7
1128,안동한일 아파트,3442,완속02,7
1129,월산11주공,3443,급속01,50
1131,진영자이 아파트,3448,급속01,50
1131,진영자이 아파트,3449,완속01,7
1131,진영자이 아파트,3450,완속02,7
1133,대신 롯데캐슬,3455,급속01,50
1133,대신 롯데캐슬,3456,완속01,7
1133,대신 롯데캐슬,3457,완속02,7
1133,대신 롯데캐슬,3458,완속03,7
1134,사천대경파미르 아파트,3459,완속01,7
1134,사천대경파미르 아파트,3460,완속02,7
1136,창원마린푸르지오1단지,3462,급속01,50
1136,창원마린푸르지오1단지,3463,급속02,50
1137,가호에일린의뜰,3464,급속01,50
1137,가호에일린의뜰,3465,완속01,7
1137,가호에일린의뜰,3466,완속02,7
1138,들말흥한타운,3467,급속01,50
1138,들말흥한타운,3468,완속01,7
1138,들말흥한타운,3469,완속02,7
1138,들말흥한타운,3470,완속03,7
1139,엠코타운더프라하,3471,급속01,50
1139,엠코타운더프라하,3472,완속01,7
1139,엠코타운더프라하,3473,완속02,7
1139,엠코타운더프라하,3474,완속03,7
1139,엠코타운더프라하,3475,완속04,7
114,방이동숙소,144,완속01,7
114,방이동숙소,153,완속02,7
1140,이현하이클래스웰가,3476,급속01,50
1140,이현하이클래스웰가,3477,완속01,7
1140,이현하이클래스웰가,3478,완속02,7
1140,이현하이클래스웰가,3479,완속03,7
1140,이현하이클래스웰가,3480,완속04,7
1141,평거휴먼시아3단지,3481,급속01,50
1141,평거휴먼시아3단지,3482,완속01,7
1141,평거휴먼시아3단지,3483,완속02,7
1141,평거휴먼시아3단지,3484,완속03,7
1142,한주럭키타운,3485,급속01,50
1142,한주럭키타운,3486,완속01,7
1143,LH자은프라임,3461,급속01,50
1143,LH자은프라임,3487,완속01,7
1143,LH자은프라임,3488,완속02,7
1143,LH자은프라임,3489,완속03,7
1143,LH자은프라임,3490,완속04,7
1144,거제자이 아파트,3491,급속01,50
1144,거제자이 아파트,3492,완속01,7
1145,고현e편한세상,3493,급속01,50
1145,고현e편한세상,3494,완속01,7
1145,고현e편한세상,3495,완속02,7
1146,덕산베스트타운 아파트,3496,급속01,50
1146,덕산베스트타운 아파트,3497,급속02,50
1147,동원우성 빌라트,3498,완속01,7
1147,동원우성 빌라트,3499,완속02,7
1148,미진참사랑,3500,완속01,7
1148,미진참사랑,3501,완속02,7
1149,사곡영진자이온1단지,3502,급속01,50
1149,사곡영진자이온1단지,3503,완속01,7
1149,사곡영진자이온1단지,3504,완속02,7
1149,사곡영진자이온1단지,3505,완속03,7
1150,옥명대우,3506,완속01,7
1151,일성한솔타운,5861,완속01,7
1151,일성한솔타운,5862,완속02,7
1152,건입현대 아파트,3509,급속01,50
1153,금천뜨래별,3510,완속01,7
1153,금천뜨래별,3511,완속02,7
1154,노형 대림 아파트,3512,완속01,7
1154,노형 대림 아파트,3513,완속02,7
1155,노형2차부영 아파트,3514,급속01,50
1155,노형2차부영 아파트,3515,완속01,7
1155,노형2차부영 아파트,3516,완속02,7
1155,노형2차부영 아파트,3517,완속03,7
1156,노형아이파크,3518,완속01,7
1156,노형아이파크,3519,완속02,7
1157,노형지구중흥S클래스 아파트,3520,급속01,50
1157,노형지구중흥S클래스 아파트,3521,완속01,7
1157,노형지구중흥S클래스 아파트,3522,완속02,7
1158,노형해든빌,3523,완속01,7
1158,노형해든빌,3524,완속02,7
1159,도남1차e-편한세상,3525,급속01,50
1160,루온토빌리지,3526,완속01,7
1160,루온토빌리지,3527,완속02,7
1161,미듬아뜨리에 아파트,3528,급속01,50
1162,방선문5차빌리지,3529,완속01,7
1162,방선문5차빌리지,3530,완속02,7
1163,방선문2차빌리지,3531,완속01,7
1163,방선문2차빌리지,3532,완속02,7
1164,방선문4차빌리지,3533,완속01,7
1164,방선문4차빌리지,3534,완속02,7
1165,방선문3차빌리지,3535,완속01,7
1165,방선문3차빌리지,3536,완속02,7
1166,봉개블루힐,3537,완속01,7
1166,봉개블루힐,3538,완속02,7
1167,삼부비치 아파트,3539,완속01,7
1167,삼부비치 아파트,3540,완속02,7
1168,신화위더스빌,3541,완속01,7
1169,아델리움,3542,완속01,7
1170,아라뜨래별연립주택,3543,완속01,7
1170,아라뜨래별연립주택,3544,완속02,7
1171,아라미화 아파트,3545,완속01,7
1171,아라미화 아파트,3546,완속02,7
1172,아라아이파크,3547,급속01,50
1172,아라아이파크,3548,완속01,7
1172,아라아이파크,3549,완속02,7
1172,아라아이파크,3550,완속03,7
1175,아이고운힐C,3556,완속01,7
1175,아이고운힐C,3557,완속02,7
1176,아이린4차 아파트,3558,완속01,7
1176,아이린4차 아파트,3559,완속02,7
1177,에덴빌리지2차,3560,급속01,50
1177,에덴빌리지2차,3561,완속01,7
1177,에덴빌리지2차,3562,완속02,7
1178,연동2차미화주택,3563,완속01,7
1179,연동아델하임 아파트,3564,완속01,7
1180,연동한일시티,3565,급속01,50
1180,연동한일시티,3566,완속01,7
1180,연동한일시티,3567,완속02,7
1181,오등동 진평연립주택,3568,완속01,7
1181,오등동 진평연립주택,3569,완속02,7
1182,오하임타운하우스,3570,완속01,7
1182,오하임타운하우스,3571,완속02,7
1183,일도2차신천지,3572,급속01,50
1183,일도2차신천지,3573,완속01,7
1184,정원파인즈 10차,3574,급속01,50
1184,정원파인즈 10차,3575,완속01,7
1185,제일빌리지,3576,완속01,7
1185,제일빌리지,3577,완속02,7
1186,제일일출연립주택,3578,급속01,50
1186,제일일출연립주택,3579,완속01,7
1187,제주고성LH 아파트,3580,급속01,50
1188,제주노형삼환3차 아파트,3583,완속01,7
1188,제주노형삼환3차 아파트,3584,완속02,7
1189,제주도련LH 아파트,3585,급속01,50
1189,제주도련LH 아파트,3586,완속01,7
1189,제주도련LH 아파트,3587,완속02,7
1190,제주부영1차 아파트,3588,급속01,50
1190,제주부영1차 아파트,3589,완속01,7
1191,제주삼화1단지LH 아파트,3590,급속01,50
1191,제주삼화1단지LH 아파트,3591,완속01,7
1191,제주삼화1단지LH 아파트,3592,완속02,7
1191,제주삼화1단지LH 아파트,3593,완속03,7
1192,제주삼화3단지LH 아파트,3595,급속01,50
1192,제주삼화3단지LH 아파트,3596,완속01,7
1192,제주삼화3단지LH 아파트,3597,완속02,7
1192,제주삼화3단지LH 아파트,3598,완속03,7
1193,제주아라LH 아파트,3599,급속01,50
1193,제주아라LH 아파트,3600,완속01,7
1193,제주아라LH 아파트,3601,완속02,7
1193,제주아라LH 아파트,3602,완속03,7
1194,제주아라스위첸 아파트,3603,급속01,50
1194,제주아라스위첸 아파트,3604,완속01,7
1194,제주아라스위첸 아파트,3605,완속02,7
1194,제주아라스위첸 아파트,3606,완속03,7
1195,제주외도아름마을LH 아파트,3607,급속01,50
1195,제주외도아름마을LH 아파트,3608,완속01,7
1196,제주으뜸마을LH 아파트,3610,급속01,50
1196,제주으뜸마을LH 아파트,3611,완속01,7
1196,제주으뜸마을LH 아파트,3612,완속02,7
1197,제주정든마을1단지LH 아파트,3613,급속01,50
1197,제주정든마을1단지LH 아파트,3614,완속01,7
1197,제주정든마을1단지LH 아파트,3615,완속02,7
1197,제주정든마을1단지LH 아파트,3616,완속03,7
1198,제주정든마을3단지LH 아파트,3617,급속01,50
1198,제주정든마을3단지LH 아파트,3618,완속01,7
1199,제주하귀휴먼시아2단지,3621,급속01,50
12,동대문중랑지사,1382,완속06,7
12,동대문중랑지사,320,완속01,7
12,동대문중랑지사,321,완속02,7
12,동대문중랑지사,523,완속03,7
12,동대문중랑지사,524,완속05,7
1200,제주하귀휴먼시아1단지,3624,급속01,50
1201,제주한림LH 아파트,3625,급속01,50
1201,제주한림LH 아파트,3626,완속01,7
1202,제주화북3LH 아파트,3628,급속01,50
1202,제주화북3LH 아파트,3629,완속01,7
1202,제주화북3LH 아파트,3630,완속02,7
1203,하귀모던빌,3632,완속01,7
1204,해오름 아파트,3633,급속01,50
1204,해오름 아파트,3634,완속01,7
1204,해오름 아파트,3635,완속02,7
1205,현대3노형부영5차 아파트,3636,급속01,50
1206,현대3차 아파트,3637,급속01,50
1207,현일 아파트,3638,급속01,50
1208,혜성대유 아파트,3639,급속01,50
1209,화북1 아파트,3640,급속01,50
121,오송역(KTX),98,완속01,7
121,오송역(KTX),99,완속02,7
1210,강정상록 아파트,3641,급속01,50
1210,강정상록 아파트,3642,완속01,7
1211,동홍인터불고코아루 아파트,3643,완속01,7
1211,동홍인터불고코아루 아파트,3644,완속02,7
1212,삼정지에듀,3645,완속01,7
1212,삼정지에듀,3646,완속02,7
1213,서귀포남원LH 아파트,3647,급속01,50
1213,서귀포남원LH 아파트,3648,완속01,7
1213,서귀포남원LH 아파트,3649,완속02,7
1214,서귀포대정LH 아파트,3650,급속01,50
1214,서귀포대정LH 아파트,3651,완속01,7
1214,서귀포대정LH 아파트,3652,완속02,7
1215,서귀포동홍3LH 아파트,3653,급속01,50
1215,서귀포동홍3LH 아파트,3654,완속01,7
1215,서귀포동홍3LH 아파트,3655,완속02,7
1216,아우룸숲,3656,완속01,7
1217,오페라하우스,3657,완속01,7
1217,오페라하우스,3658,완속02,7
1218,제주서귀포동홍6단지LH 아파트,3659,급속01,50
1218,제주서귀포동홍6단지LH 아파트,3660,완속01,7
1218,제주서귀포동홍6단지LH 아파트,3661,완속02,7
1218,제주서귀포동홍6단지LH 아파트,3662,완속03,7
1219,현대성우2단지,3664,완속01,7
1219,현대성우2단지,3665,완속02,7
122,신안지사,1008,급속01,50
1220,현대성우3단지,3666,완속01,7
1220,현대성우3단지,3667,완속02,7
1221,모아미래도 아파트,3668,급속01,50
1222,별사랑마을2-2단지,7995,급속01,50
1222,별사랑마을2-2단지,7996,완속01,7
1222,별사랑마을2-2단지,7997,완속02,7
1222,별사랑마을2-2단지,7998,완속03,7
1223,신일유토빌 아파트,3673,급속01,50
1223,신일유토빌 아파트,3674,완속01,7
1223,신일유토빌 아파트,3675,완속02,7
1223,신일유토빌 아파트,3676,완속03,7
1224,금오2차신도브래뉴업 아파트,3677,급속01,50
1224,금오2차신도브래뉴업 아파트,3678,완속01,7
1224,금오2차신도브래뉴업 아파트,3679,완속02,7
1224,금오2차신도브래뉴업 아파트,3680,완속03,7
1224,금오2차신도브래뉴업 아파트,3681,완속04,7
1225,신도8차 아파트,3682,급속01,50
1225,신도8차 아파트,3683,완속01,7
1225,신도8차 아파트,3684,완속02,7
1226,양주성우헤스티아,3685,급속01,50
1226,양주성우헤스티아,3686,완속01,7
1226,양주성우헤스티아,3687,완속02,7
1227,양주자이1단지,3688,급속01,50
1227,양주자이1단지,3689,완속01,7
1227,양주자이1단지,3690,완속02,7
1227,양주자이1단지,3691,완속03,7
1228,송내주공5단지,3692,급속01,50
1228,송내주공5단지,3693,완속01,7
1228,송내주공5단지,3694,완속02,7
1229,윤중 아파트,3695,급속01,50
123,영광지사,1004,급속01,50
123,영광지사,12318,완속03,7
123,영광지사,279,완속01,7
123,영광지사,489,완속02,7
1230,가람마을11단지,3696,급속01,50
1230,가람마을11단지,3697,완속01,7
1230,가람마을11단지,3698,완속02,7
1230,가람마을11단지,3699,완속03,7
1231,금촌파라다이스 아파트,3700,급속01,50
1232,파주힐스테이트2차,3701,급속01,50
